Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,70.45999908447266,71.83000183105469,70.33000183105469,71.80999755859375,66.82611083984375,13228700
2021-04-05,72.19000244140625,74.9000015258789,72.05999755859375,74.16000366210938,69.01300811767578,25010200
2021-04-06,73.62000274658203,74.6500015258789,73.16000366210938,74.27999877929688,69.12466430664062,14699800
2021-04-07,73.5999984741211,74.18000030517578,73.44999694824219,74.06999969482422,69.22748565673828,12356800
2021-04-08,74.2699966430664,75.52999877929688,74.1500015258789,75.27999877929688,70.3583984375,13507700
2021-04-09,75.3499984741211,75.69000244140625,74.9000015258789,75.58000183105469,70.63876342773438,13285700
2021-04-12,75.25,76.19000244140625,75.19999694824219,76.12000274658203,71.14347839355469,10634900
2021-04-13,76.16000366210938,77.01000213623047,75.9000015258789,76.66999816894531,71.65750122070312,13142400
2021-04-14,77.04000091552734,77.36000061035156,76.51000213623047,76.81999969482422,71.7977066040039,12730700
2021-04-15,77.0,78.55000305175781,76.83000183105469,78.29000091552734,73.1716079711914,13604200
2021-04-16,78.30999755859375,79.33999633789062,77.86000061035156,78.94999694824219,73.7884521484375,13334100
2021-04-19,78.80999755859375,80.20999908447266,78.33999633789062,78.75,73.60151672363281,19967200
2021-04-20,78.69999694824219,79.41999816894531,78.6500015258789,79.23999786376953,74.05947875976562,12562300
2021-04-21,78.79000091552734,79.33999633789062,76.52999877929688,76.66000366210938,71.6481704711914,18672800
2021-04-22,76.11000061035156,76.4800033569336,74.75,74.87000274658203,69.97520446777344,16769300
2021-04-23,74.29000091552734,75.0,73.8499984741211,74.97000122070312,70.06864166259766,10664700
2021-04-26,74.97000122070312,75.04000091552734,74.19999694824219,74.5,69.62935638427734,9402200
2021-04-27,74.38999938964844,75.43000030517578,74.22000122070312,75.22000122070312,70.30228424072266,9300200
2021-04-28,75.16000366210938,75.2699966430664,74.66000366210938,74.7699966430664,69.8817367553711,6107800
2021-04-29,75.37999725341797,75.9000015258789,74.63999938964844,75.87000274658203,70.9098129272461,7940400
2021-04-30,75.55999755859375,75.91999816894531,75.19000244140625,75.79000091552734,70.83502960205078,7825300
2021-05-03,76.27999877929688,77.4800033569336,76.08000183105469,77.33000183105469,72.27438354492188,15319600
2021-05-04,77.06999969482422,78.69999694824219,76.93000030517578,78.52999877929688,73.39591979980469,15316500
2021-05-05,78.97000122070312,79.83000183105469,78.41999816894531,79.19000244140625,74.01276397705078,12271900
2021-05-06,79.18000030517578,79.95999908447266,78.55999755859375,79.73999786376953,74.52680206298828,14089700
2021-05-07,79.80999755859375,80.54000091552734,78.58000183105469,80.4000015258789,75.14363861083984,14073400
2021-05-10,78.7699966430664,80.72000122070312,78.5999984741211,80.1500015258789,74.90999603271484,17356700
2021-05-11,79.75,79.9000015258789,77.25,77.69000244140625,72.61082458496094,12980400
2021-05-12,77.56999969482422,78.19000244140625,76.52999877929688,76.75,71.73229217529297,12302600
2021-05-13,77.52999877929688,78.44000244140625,76.87999725341797,78.13999938964844,73.0313949584961,11399300
2021-05-14,78.12000274658203,79.05000305175781,78.12000274658203,78.88999938964844,73.73236083984375,9033400
2021-05-17,78.87999725341797,79.52999877929688,78.8499984741211,79.08000183105469,73.90996551513672,6637900
2021-05-18,78.98999786376953,79.47000122070312,78.38999938964844,78.69000244140625,73.54544067382812,6643100
2021-05-19,77.80999755859375,78.7699966430664,77.55000305175781,78.73999786376953,73.5921630859375,8165000
2021-05-20,78.94999694824219,79.31999969482422,78.68000030517578,78.72000122070312,73.5735092163086,8802700
2021-05-21,79.19000244140625,79.8499984741211,78.9800033569336,79.02999877929688,73.86322021484375,8629000
2021-05-24,79.48999786376953,79.87999725341797,79.13999938964844,79.37999725341797,74.19034576416016,7044700
2021-05-25,79.61000061035156,79.68000030517578,78.6500015258789,78.83000183105469,73.67630004882812,7160600
2021-05-26,78.58999633789062,79.37000274658203,78.55000305175781,79.26000213623047,74.07818603515625,12851100
2021-05-27,79.5,80.05000305175781,78.83999633789062,78.9800033569336,73.81648254394531,12867800
2021-05-28,78.94999694824219,79.36000061035156,78.66999816894531,78.73999786376953,73.5921630859375,6929700
2021-06-01,79.58000183105469,79.83000183105469,78.4800033569336,79.56999969482422,74.36790466308594,10485300
2021-06-02,79.69999694824219,80.93000030517578,79.51000213623047,80.2699966430664,75.02213287353516,12249300
2021-06-03,79.80000305175781,81.45999908447266,79.6500015258789,81.08999633789062,75.78853607177734,12038700
2021-06-04,81.41999816894531,83.95999908447266,81.37000274658203,82.88999938964844,77.47085571289062,14502900
2021-06-07,82.94000244140625,84.25,82.8499984741211,83.94000244140625,78.45220947265625,10445600
2021-06-08,84.02999877929688,85.02999877929688,84.0,84.61000061035156,79.07840728759766,10726800
2021-06-09,84.5999984741211,84.83000183105469,84.02999877929688,84.5199966430664,78.99429321289062,9720300
2021-06-10,84.16000366210938,84.45999908447266,81.70999908447266,82.30000305175781,76.91943359375,16680800
2021-06-11,81.9800033569336,83.23999786376953,81.83999633789062,82.9000015258789,77.48021697998047,11066500
2021-06-14,83.0,83.0999984741211,82.12999725341797,82.62000274658203,77.21852111816406,10173200
2021-06-15,82.0,82.51000213623047,81.3499984741211,81.63999938964844,76.3025894165039,17298000
2021-06-16,77.98999786376953,78.55000305175781,75.9000015258789,77.08000183105469,72.04068756103516,36560600
2021-06-17,76.98999786376953,77.73999786376953,76.55999755859375,77.55999755859375,72.48932647705078,14836100
2021-06-18,76.9000015258789,76.91000366210938,75.97000122070312,76.2300033569336,71.24628448486328,22521200
2021-06-21,76.61000061035156,78.0999984741211,76.55000305175781,77.98999786376953,72.89120483398438,8924300
2021-06-22,78.05999755859375,79.19000244140625,77.66000366210938,78.68000030517578,73.5361099243164,9845800
2021-06-23,78.76000213623047,78.87000274658203,78.05999755859375,78.0999984741211,72.99401092529297,7295900
2021-06-24,78.6500015258789,78.95999908447266,77.61000061035156,77.73999786376953,72.65754699707031,9624000
2021-06-25,78.02999877929688,78.61000061035156,77.55999755859375,78.45999908447266,73.33048248291016,12845000
2021-06-28,78.48999786376953,78.97000122070312,78.33000183105469,78.5,73.36787414550781,5605400
2021-06-29,78.54000091552734,78.58999633789062,77.81999969482422,78.0999984741211,72.99401092529297,5392900
2021-06-30,77.58999633789062,78.20999908447266,77.58000183105469,77.83999633789062,72.7509994506836,7899800
