Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,127.87763214111328,128.04014587402344,126.45315551757812,127.37093353271484,104.34549713134766,4261404
2021-04-05,127.76290893554688,130.67877197265625,127.53346252441406,129.9521942138672,106.46012878417969,5722980
2021-04-06,129.61758422851562,129.67495727539062,128.193115234375,128.31739807128906,105.12086486816406,3787566
2021-04-07,127.95410919189453,129.0057373046875,127.8967514038086,128.9961700439453,105.67693328857422,3112896
2021-04-08,128.65200805664062,129.66539001464844,128.26004028320312,129.17782592773438,105.82575225830078,4275211
2021-04-09,128.93881225585938,129.7705535888672,128.78585815429688,129.76100158691406,106.30349731445312,3162999
2021-04-12,129.08221435546875,129.4168243408203,127.96366882324219,128.67112731933594,105.4106674194336,3926684
2021-04-13,127.15105438232422,127.74378967285156,124.64627075195312,125.41108703613281,102.73994445800781,8403041
2021-04-14,125.53536987304688,126.94072723388672,124.78011322021484,126.79732513427734,103.87559509277344,6137928
2021-04-15,127.41873931884766,127.98279571533203,126.40535736083984,126.74951934814453,103.83643341064453,4062664
2021-04-16,127.15105438232422,128.2026824951172,127.1032485961914,127.71510314941406,104.62745666503906,5535223
2021-04-19,127.72466278076172,127.93498992919922,126.74951934814453,127.26577758789062,104.25934600830078,8575736
2021-04-20,131.0420684814453,133.62332153320312,130.68833923339844,132.08413696289062,108.20667266845703,16192708
2021-04-21,131.988525390625,137.4091796875,131.65391540527344,137.23709106445312,112.4281005859375,12456814
2021-04-22,137.3804931640625,138.374755859375,134.7992401123047,135.06692504882812,110.65023040771484,7428064
2021-04-23,135.09559631347656,137.29444885253906,134.75143432617188,136.16635131835938,111.55091857910156,4765576
2021-04-26,136.1567840576172,137.31358337402344,135.2581329345703,135.3441619873047,110.87738800048828,4927497
2021-04-27,135.45889282226562,136.29063415527344,134.5602264404297,135.7648162841797,111.22198486328125,4062664
2021-04-28,136.63479614257812,137.09368896484375,135.85086059570312,136.71128845214844,111.99735260009766,3941433
2021-04-29,137.7915802001953,142.1988525390625,136.69215393066406,137.89674377441406,112.9685287475586,4554179
2021-04-30,137.3804931640625,137.50477600097656,134.3690185546875,135.64053344726562,111.12018585205078,9280321
2021-05-03,137.48565673828125,139.34034729003906,137.23709106445312,138.3843231201172,113.36795806884766,5997241
2021-05-04,138.0592803955078,140.14340209960938,137.9827880859375,139.34034729003906,114.15116119384766,6642623
2021-05-05,139.52198791503906,139.52198791503906,138.5946502685547,138.83364868164062,113.73604583740234,5229895
2021-05-06,138.87188720703125,141.97897338867188,138.79541015625,141.89292907714844,116.2422866821289,7848661
2021-05-07,139.50286865234375,139.71319580078125,138.2122344970703,139.06309509277344,115.1969223022461,7325661
2021-05-10,139.3881378173828,141.8546905517578,139.3881378173828,139.7418670654297,115.75920104980469,7304636
2021-05-11,138.61376953125,138.8049774169922,136.6156768798828,137.87762451171875,114.21489715576172,7454214
2021-05-12,137.51434326171875,137.81069946289062,134.93307495117188,135.08604431152344,111.90241241455078,6233742
